Education,Self_Employed,ApplicantIncome,Property_Area,country,Loan_Status
Graduate,No,4283,Rural,Connecticut,N
Graduate,No,2297,Urban,Connecticut,Y
Not Graduate,No,2165,Semiurban,Connecticut,Y
Graduate,No,4750,Semiurban,Connecticut,Y
Graduate,Yes,2726,Semiurban,Connecticut,N
Graduate,No,3000,Semiurban,Connecticut,Y
Graduate,Yes,6000,Semiurban,Connecticut,N
Graduate,Yes,9357,Semiurban,Connecticut,Y
Graduate,No,3859,Rural,Connecticut,Y
Graduate,Yes,16120,Urban,Connecticut,Y
Not Graduate,No,3833,Rural,Connecticut,Y
Not Graduate,Yes,6383,Rural,Connecticut,N
Graduate,No,2987,Semiurban,Connecticut,N
Graduate,Yes,9963,Rural,Connecticut,Y
Graduate,No,5780,Urban,Connecticut,Y
Graduate,,416,Urban,Hartford,N
Not Graduate,,2894,Rural,Hartford,Y
Graduate,No,5703,Urban,Hartford,Y
Graduate,No,3676,Rural,Hartford,Y
Graduate,No,12000,Semiurban,Hartford,Y
Not Graduate,No,2400,Urban,Hartford,N
Graduate,No,3400,Semiurban,Hartford,Y
Not Graduate,No,3987,Rural,Hartford,Y
Graduate,No,3232,Rural,Hartford,Y
Graduate,No,2900,Rural,Hartford,Y
Graduate,No,4106,Rural,Hartford,Y
Graduate,No,8072,Urban,Hartford,Y
Graduate,No,7583,Urban,Hartford,Y
Graduate,Yes,4583,Semiurban,Hartford,N
